Zip Code,City,State,2010 Population
01542,ROCHDALE,MA,2202
01543,RUTLAND,MA,7973
01545,SHREWSBURY,MA,35299
01550,SOUTHBRIDGE,MA,16719
01560,SOUTH GRAFTON,MA,4527
01561,SOUTH LANCASTER,MA,330
01562,SPENCER,MA,11688
01564,STERLING,MA,7808
01566,STURBRIDGE,MA,6294
01568,UPTON,MA,7480
01569,UXBRIDGE,MA,13569
01570,WEBSTER,MA,16767
01571,DUDLEY,MA,11390
01581,WESTBOROUGH,MA,18272
01583,WEST BOYLSTON,MA,7591
01585,WEST BROOKFIELD,MA,4554
01588,WHITINSVILLE,MA,9733
01590,SUTTON,MA,8875
01602,WORCESTER,MA,22819
01603,WORCESTER,MA,19916
01604,WORCESTER,MA,34677
01605,WORCESTER,MA,26221
01606,WORCESTER,MA,19077
01607,WORCESTER,MA,8351
01608,WORCESTER,MA,3888
01609,WORCESTER,MA,22421
01610,WORCESTER,MA,23945
01611,CHERRY VALLEY,MA,2242
01612,PAXTON,MA,4845
01701,FRAMINGHAM,MA,31217
01702,FRAMINGHAM,MA,37206
01718,VILLAGE OF NAGOG WOODS,MA,469
01719,BOXBOROUGH,MA,4996
01720,ACTON,MA,21361
01721,ASHLAND,MA,16593
01730,BEDFORD,MA,13221
01731,HANSCOM AFB,MA,1396
01740,BOLTON,MA,4897
01741,CARLISLE,MA,4852
01742,CONCORD,MA,17726
01745,FAYVILLE,MA,397
01746,HOLLISTON,MA,13547
01747,HOPEDALE,MA,5911
01748,HOPKINTON,MA,14925
01749,HUDSON,MA,19063
01752,MARLBOROUGH,MA,38499
01754,MAYNARD,MA,10106
01756,MENDON,MA,5839
01757,MILFORD,MA,28061
01760,NATICK,MA,32786
01770,SHERBORN,MA,4119
01772,SOUTHBOROUGH,MA,9370
01773,LINCOLN,MA,5112
01775,STOW,MA,6590
01776,SUDBURY,MA,17659
01778,WAYLAND,MA,13109
01801,WOBURN,MA,38903
01803,BURLINGTON,MA,24487
01810,ANDOVER,MA,33201
01821,BILLERICA,MA,30310
01824,CHELMSFORD,MA,24911
01826,DRACUT,MA,29422
01827,DUNSTABLE,MA,3179
01830,HAVERHILL,MA,25137
01832,HAVERHILL,MA,22060
01833,GEORGETOWN,MA,8183
01834,GROVELAND,MA,6459
01835,HAVERHILL,MA,13682
01840,LAWRENCE,MA,4733
01841,LAWRENCE,MA,47225
01843,LAWRENCE,MA,24425
01844,METHUEN,MA,47249
01845,NORTH ANDOVER,MA,28352
01850,LOWELL,MA,15237
01851,LOWELL,MA,30190
01852,LOWELL,MA,33508
01854,LOWELL,MA,27606
01860,MERRIMAC,MA,6338
01862,NORTH BILLERICA,MA,10227
01863,NORTH CHELMSFORD,MA,8891
01864,NORTH READING,MA,14892
01867,READING,MA,23956
01876,TEWKSBURY,MA,28667
01879,TYNGSBORO,MA,11305
01880,WAKEFIELD,MA,24733
01886,WESTFORD,MA,21951
01887,WILMINGTON,MA,22325
01890,WINCHESTER,MA,21382
01901,LYNN,MA,1689
01902,LYNN,MA,45139
01904,LYNN,MA,18203
01905,LYNN,MA,25251
01906,SAUGUS,MA,26660
01907,SWAMPSCOTT,MA,14027
01908,NAHANT,MA,3410
01913,AMESBURY,MA,16283
01915,BEVERLY,MA,39502
01921,BOXFORD,MA,7961
01922,BYFIELD,MA,3108
01923,DANVERS,MA,26342
01929,ESSEX,MA,3504
01930,GLOUCESTER,MA,28789
01937,HATHORNE,MA,151
01938,IPSWICH,MA,13175
01940,LYNNFIELD,MA,12108
01944,MANCHESTER,MA,5136
01945,MARBLEHEAD,MA,19808
01949,MIDDLETON,MA,8987
01950,NEWBURYPORT,MA,17416
01951,NEWBURY,MA,3558
01952,SALISBURY,MA,8283
01960,PEABODY,MA,50944
01966,ROCKPORT,MA,6952
01969,ROWLEY,MA,5856
01970,SALEM,MA,41109
01982,SOUTH HAMILTON,MA,7764
01983,TOPSFIELD,MA,6089
01984,WENHAM,MA,4875
01985,WEST NEWBURY,MA,4235
02019,BELLINGHAM,MA,16332
02021,CANTON,MA,21561
02025,COHASSET,MA,7542
02026,DEDHAM,MA,24711
02030,DOVER,MA,5589
02032,EAST WALPOLE,MA,4226
02035,FOXBORO,MA,16865
02038,FRANKLIN,MA,31635
02043,HINGHAM,MA,22157
02045,HULL,MA,10293
02047,HUMAROCK,MA,180
02048,MANSFIELD,MA,23184
02050,MARSHFIELD,MA,25429
02052,MEDFIELD,MA,12024
02053,MEDWAY,MA,12752
02054,MILLIS,MA,7891
02056,NORFOLK,MA,10981
02061,NORWELL,MA,10506
02062,NORWOOD,MA,28602
02066,SCITUATE,MA,17656
02067,SHARON,MA,17486
02071,SOUTH WALPOLE,MA,1707
02072,STOUGHTON,MA,26999
02081,WALPOLE,MA,18472
02090,WESTWOOD,MA,14636
02093,WRENTHAM,MA,10955
02108,BOSTON,MA,3825
02109,BOSTON,MA,3771
02110,BOSTON,MA,1733
02111,BOSTON,MA,7383
02113,BOSTON,MA,6915
02114,BOSTON,MA,11999
02115,BOSTON,MA,28441
02116,BOSTON,MA,20628
02118,BOSTON,MA,26498
02119,ROXBURY,MA,25346
02120,ROXBURY CROSSING,MA,15181
02121,DORCHESTER,MA,25978
02122,DORCHESTER,MA,23479
02124,DORCHESTER CENTER,MA,47783
02125,DORCHESTER,MA,33295
02126,MATTAPAN,MA,25562
02127,BOSTON,MA,31799
02128,BOSTON,MA,40508
02129,CHARLESTOWN,MA,16439
02130,JAMAICA PLAIN,MA,35401
02131,ROSLINDALE,MA,29826
02132,WEST ROXBURY,MA,25861
02134,ALLSTON,MA,21503
02135,BRIGHTON,MA,42780
02136,HYDE PARK,MA,28488
02138,CAMBRIDGE,MA,36314
02139,CAMBRIDGE,MA,36349
02140,CAMBRIDGE,MA,17607
02141,CAMBRIDGE,MA,11910
02142,CAMBRIDGE,MA,3141
02143,SOMERVILLE,MA,24514
02144,SOMERVILLE,MA,23891
02145,SOMERVILLE,MA,25439
02148,MALDEN,MA,59503
02149,EVERETT,MA,41550
02150,CHELSEA,MA,35124
02151,REVERE,MA,51808
02152,WINTHROP,MA,17497
02155,MEDFORD,MA,57964
02163,BOSTON,MA,2582
02169,QUINCY,MA,55055
02170,QUINCY,MA,19505
02171,QUINCY,MA,17711
02176,MELROSE,MA,26983
02180,STONEHAM,MA,21437
02184,BRAINTREE,MA,35744
02186,MILTON,MA,27003
02188,WEYMOUTH,MA,14608
02189,EAST WEYMOUTH,MA,14559
02190,SOUTH WEYMOUTH,MA,16119
02191,NORTH WEYMOUTH,MA,8457
02199,BOSTON,MA,1146
02203,BOSTON,MA,0
02210,BOSTON,MA,2090
02215,BOSTON,MA,26125
02301,BROCKTON,MA,61025
02302,BROCKTON,MA,32741
02322,AVON,MA,4356
02324,BRIDGEWATER,MA,26563
02330,CARVER,MA,11509
02332,DUXBURY,MA,15059
02333,EAST BRIDGEWATER,MA,13794
02338,HALIFAX,MA,7518
02339,HANOVER,MA,13879
02341,HANSON,MA,10218
02343,HOLBROOK,MA,10745
02346,MIDDLEBORO,MA,23106
02347,LAKEVILLE,MA,10612
02351,ABINGTON,MA,16029
02356,NORTH EASTON,MA,12564
02357,NORTH EASTON,MA,1360
02359,PEMBROKE,MA,17828
02360,PLYMOUTH,MA,56271
02364,KINGSTON,MA,12629
02366,SOUTH CARVER,MA,197
02367,PLYMPTON,MA,2820
02368,RANDOLPH,MA,32158
02370,ROCKLAND,MA,17489
02375,SOUTH EASTON,MA,9188
02379,WEST BRIDGEWATER,MA,6916
02382,WHITMAN,MA,14489
02420,LEXINGTON,MA,14052
02421,LEXINGTON,MA,17342
02445,BROOKLINE,MA,20679
02446,BROOKLINE,MA,29311
02451,WALTHAM,MA,17426
02452,WALTHAM,MA,14238
02453,WALTHAM,MA,28968
02457,BABSON PARK,MA,1432
02458,NEWTON,MA,12131
02459,NEWTON CENTER,MA,19095
02460,NEWTONVILLE,MA,8742
02461,NEWTON HIGHLANDS,MA,7059
02462,NEWTON LOWER FALLS,MA,1554
02464,NEWTON UPPER FALLS,MA,2953
02465,WEST NEWTON,MA,11710
02466,AUBURNDALE,MA,8096
02467,CHESTNUT HILL,MA,22491
02468,WABAN,MA,5273
02472,WATERTOWN,MA,32014
02474,ARLINGTON,MA,26312
02476,ARLINGTON,MA,16532
02478,BELMONT,MA,24664
02481,WELLESLEY HILLS,MA,16244
02482,WELLESLEY,MA,10306
02492,NEEDHAM,MA,19931
02493,WESTON,MA,11261
02494,NEEDHAM HEIGHTS,MA,8955
02532,BUZZARDS BAY,MA,12690
02534,CATAUMET,MA,842
02535,CHILMARK,MA,1177
02536,EAST FALMOUTH,MA,19583
02537,EAST SANDWICH,MA,6293
02538,EAST WAREHAM,MA,3603
02539,EDGARTOWN,MA,4067
02540,FALMOUTH,MA,8221
02542,BUZZARDS BAY,MA,1139
02543,WOODS HOLE,MA,635
02553,MONUMENT BEACH,MA,226
02554,NANTUCKET,MA,9852
02556,NORTH FALMOUTH,MA,3115
02557,OAK BLUFFS,MA,4491
02558,ONSET,MA,2156
02559,POCASSET,MA,3376
02561,SAGAMORE,MA,539
02562,SAGAMORE BEACH,MA,2977
02563,SANDWICH,MA,10359
02564,SIASCONSET,MA,310
02568,VINEYARD HAVEN,MA,4000
02571,WAREHAM,MA,10481
02575,WEST TISBURY,MA,2725
02576,WEST WAREHAM,MA,3754
02584,NANTUCKET,MA,10
02601,HYANNIS,MA,14089
02630,BARNSTABLE,MA,1850
02631,BREWSTER,MA,9679
02632,CENTERVILLE,MA,10742
02633,CHATHAM,MA,3884
02635,COTUIT,MA,3296
02637,CUMMAQUID,MA,253
02638,DENNIS,MA,3207
02639,DENNIS PORT,MA,2875
02641,EAST DENNIS,MA,532
02642,EASTHAM,MA,4937
02643,EAST ORLEANS,MA,26
02644,FORESTDALE,MA,3955
02645,HARWICH,MA,9663
02646,HARWICH PORT,MA,1676
02647,HYANNIS PORT,MA,129
02648,MARSTONS MILLS,MA,7301
02649,MASHPEE,MA,14006
02650,NORTH CHATHAM,MA,848
02651,NORTH EASTHAM,MA,16
02652,NORTH TRURO,MA,1175
02653,ORLEANS,MA,5911
02655,OSTERVILLE,MA,3518
02657,PROVINCETOWN,MA,2942
02659,SOUTH CHATHAM,MA,1108
02660,SOUTH DENNIS,MA,6261
02663,SOUTH WELLFLEET,MA,173
02664,SOUTH YARMOUTH,MA,9371
02666,TRURO,MA,828
02667,WELLFLEET,MA,2580
02668,WEST BARNSTABLE,MA,3278
02669,WEST CHATHAM,MA,285
02670,WEST DENNIS,MA,1307
02671,WEST HARWICH,MA,1023
02672,WEST HYANNISPORT,MA,180
02673,WEST YARMOUTH,MA,8402
02675,YARMOUTH PORT,MA,6577
02702,ASSONET,MA,4125
02703,ATTLEBORO,MA,43593
02713,CUTTYHUNK,MA,52
02715,DIGHTON,MA,3123
02717,EAST FREETOWN,MA,4745
02718,EAST TAUNTON,MA,6655
02719,FAIRHAVEN,MA,15873
02720,FALL RIVER,MA,30287
02721,FALL RIVER,MA,26290
02723,FALL RIVER,MA,14767
02724,FALL RIVER,MA,16908
02725,SOMERSET,MA,2631
02726,SOMERSET,MA,15534
02738,MARION,MA,4907
02739,MATTAPOISETT,MA,6045
02740,NEW BEDFORD,MA,43087
02743,ACUSHNET,MA,10307
02744,NEW BEDFORD,MA,11900
02745,NEW BEDFORD,MA,24576
02746,NEW BEDFORD,MA,15342
02747,NORTH DARTMOUTH,MA,22927
02748,SOUTH DARTMOUTH,MA,11442
02760,NORTH ATTLEBORO,MA,26739
02762,PLAINVILLE,MA,8264
02763,ATTLEBORO FALLS,MA,1973
02764,NORTH DIGHTON,MA,3988
02766,NORTON,MA,19031
02767,RAYNHAM,MA,13566
02769,REHOBOTH,MA,11608
02770,ROCHESTER,MA,5093
02771,SEEKONK,MA,13708
02777,SWANSEA,MA,15840
02779,BERKLEY,MA,6411
02780,TAUNTON,MA,49036
02790,WESTPORT,MA,15717
02791,WESTPORT POINT,MA,246
02802,ALBION,RI,786
02804,ASHAWAY,RI,2607
02806,BARRINGTON,RI,16310
02807,BLOCK ISLAND,RI,1051
02808,BRADFORD,RI,2401
02809,BRISTOL,RI,22938
02812,CAROLINA,RI,1497
02813,CHARLESTOWN,RI,7831
02814,CHEPACHET,RI,7496
02815,CLAYVILLE,RI,278
02816,COVENTRY,RI,32611
02817,WEST GREENWICH,RI,6135
02818,EAST GREENWICH,RI,18082
02822,EXETER,RI,6111
02825,FOSTER,RI,5377
02826,GLENDALE,RI,791
02827,GREENE,RI,2172
02828,GREENVILLE,RI,7704
02830,HARRISVILLE,RI,5976
02831,HOPE,RI,3515
02832,HOPE VALLEY,RI,4608
02833,HOPKINTON,RI,784
02835,JAMESTOWN,RI,5405
02836,KENYON,RI,136
02837,LITTLE COMPTON,RI,3492
02838,MANVILLE,RI,3400
02839,MAPLEVILLE,RI,1902
02840,NEWPORT,RI,23335
02841,NEWPORT,RI,1392
02842,MIDDLETOWN,RI,16095
02852,NORTH KINGSTOWN,RI,22551
02857,NORTH SCITUATE,RI,8412
02858,OAKLAND,RI,570
02859,PASCOAG,RI,6738
02860,PAWTUCKET,RI,45199
02861,PAWTUCKET,RI,14
02861,PAWTUCKET,RI,26164
02863,CENTRAL FALLS,RI,19385
02864,CUMBERLAND,RI,33396
02865,LINCOLN,RI,16951
02871,PORTSMOUTH,RI,17171
02872,PRUDENCE ISLAND,RI,218
02873,ROCKVILLE,RI,235
02874,SAUNDERSTOWN,RI,5860
02875,SHANNOCK,RI,307
02876,SLATERSVILLE,RI,430
02878,TIVERTON,RI,15780
02879,WAKEFIELD,RI,20371
02881,KINGSTON,RI,7841
02882,NARRAGANSETT,RI,14184
02885,WARREN,RI,10627
02886,WARWICK,RI,29269
02888,WARWICK,RI,19912
02889,WARWICK,RI,28217
02891,WESTERLY,RI,21198
02892,WEST KINGSTON,RI,4988
02893,WEST WARWICK,RI,29630
02894,WOOD RIVER JUNCTION,RI,722
02895,WOONSOCKET,RI,41186
02896,NORTH SMITHFIELD,RI,11537
02898,WYOMING,RI,1696
02903,PROVIDENCE,RI,10780
02904,PROVIDENCE,RI,29359
02905,PROVIDENCE,RI,25223
02906,PROVIDENCE,RI,28387
02907,PROVIDENCE,RI,27445
02908,PROVIDENCE,RI,37467
02909,PROVIDENCE,RI,43540
02910,CRANSTON,RI,21000
02911,NORTH PROVIDENCE,RI,15574
02912,PROVIDENCE,RI,1370
02914,EAST PROVIDENCE,RI,21963
02915,RIVERSIDE,RI,16897
02916,RUMFORD,RI,8139
02917,SMITHFIELD,RI,13762
02919,JOHNSTON,RI,28790
02920,CRANSTON,RI,37547
02921,CRANSTON,RI,12361
03031,AMHERST,NH,11247
03032,AUBURN,NH,4953
03033,BROOKLINE,NH,4987
03034,CANDIA,NH,3970
03036,CHESTER,NH,4782
03037,DEERFIELD,NH,4219
03038,DERRY,NH,33269
03042,EPPING,NH,6341
03043,FRANCESTOWN,NH,1573
03044,FREMONT,NH,4263
03045,GOFFSTOWN,NH,13560
03046,DUNBARTON,NH,2758
03047,GREENFIELD,NH,1767
03048,GREENVILLE,NH,3426
03049,HOLLIS,NH,7688
03051,HUDSON,NH,24480
03052,LITCHFIELD,NH,8258
03053,LONDONDERRY,NH,23957
03054,MERRIMACK,NH,25477
03055,MILFORD,NH,15086
03057,MONT VERNON,NH,2500
03060,NASHUA,NH,29357
03062,NASHUA,NH,26694
03063,NASHUA,NH,16216
03064,NASHUA,NH,14227
03070,NEW BOSTON,NH,5254
03071,NEW IPSWICH,NH,5109
03076,PELHAM,NH,12897
03077,RAYMOND,NH,10155
03079,SALEM,NH,28776
03082,LYNDEBOROUGH,NH,1615
03084,TEMPLE,NH,1366
03086,WILTON,NH,3728
03087,WINDHAM,NH,13592
03101,MANCHESTER,NH,3049
03102,MANCHESTER,NH,31096
03103,MANCHESTER,NH,36476
03104,MANCHESTER,NH,32798
03106,HOOKSETT,NH,13374
03109,MANCHESTER,NH,10314
03110,BEDFORD,NH,21203
03215,WATERVILLE VALLEY,NH,247
03216,ANDOVER,NH,2159
03217,ASHLAND,NH,2076
03218,BARNSTEAD,NH,960
03220,BELMONT,NH,7430
03221,BRADFORD,NH,2091
03222,BRISTOL,NH,5353
03223,CAMPTON,NH,3427
03224,CANTERBURY,NH,2318
03225,CENTER BARNSTEAD,NH,3660
03226,CENTER HARBOR,NH,1117
03227,CENTER SANDWICH,NH,925
03229,CONTOOCOOK,NH,5589
03230,DANBURY,NH,1231
03231,EAST ANDOVER,NH,202
03233,ELKINS,NH,115
03234,EPSOM,NH,4572
03235,FRANKLIN,NH,8562
03237,GILMANTON,NH,2254
03238,GLENCLIFF,NH,75
03240,GRAFTON,NH,1340
03241,HEBRON,NH,876
03242,HENNIKER,NH,4836
03243,HILL,NH,1085
03244,HILLSBOROUGH,NH,8092
03245,HOLDERNESS,NH,2027
03246,LACONIA,NH,15963
03249,GILFORD,NH,7113
03251,LINCOLN,NH,1662
03253,MEREDITH,NH,6219
03254,MOULTONBOROUGH,NH,4049
03255,NEWBURY,NH,2090
03256,NEW HAMPTON,NH,2169
03257,NEW LONDON,NH,4455
03258,CHICHESTER,NH,2517
03259,NORTH SANDWICH,NH,368
03260,NORTH SUTTON,NH,809
03261,NORTHWOOD,NH,4246
03262,NORTH WOODSTOCK,NH,1231
03263,PITTSFIELD,NH,4114
03264,PLYMOUTH,NH,7468
03266,RUMNEY,NH,2163
03268,SALISBURY,NH,1272
03269,SANBORNTON,NH,2966
03273,SOUTH SUTTON,NH,312
03275,SUNCOOK,NH,11437
03276,TILTON,NH,8324
03278,WARNER,NH,2952
03279,WARREN,NH,829
03280,WASHINGTON,NH,1123
03281,WEARE,NH,8785
03282,WENTWORTH,NH,902
03284,SPRINGFIELD,NH,999
03285,THORNTON,NH,2479
03287,WILMOT,NH,1295
03290,NOTTINGHAM,NH,4731
03291,WEST NOTTINGHAM,NH,39
03293,WOODSTOCK,NH,143
03301,CONCORD,NH,33008
03303,CONCORD,NH,15524
03304,BOW,NH,7519
03307,LOUDON,NH,5334
03431,KEENE,NH,25280
03440,ANTRIM,NH,2692
03441,ASHUELOT,NH,395
03442,BENNINGTON,NH,1491
03443,CHESTERFIELD,NH,742
03444,DUBLIN,NH,1590
03445,SULLIVAN,NH,691
03446,SWANZEY,NH,6285
03447,FITZWILLIAM,NH,2422
03448,GILSUM,NH,811
03449,HANCOCK,NH,1654
03450,HARRISVILLE,NH,961
03451,HINSDALE,NH,4077
03452,JAFFREY,NH,5457
03455,MARLBOROUGH,NH,2086
03456,MARLOW,NH,742
03457,NELSON,NH,852
03458,PETERBOROUGH,NH,6643
03461,RINDGE,NH,6014
03462,SPOFFORD,NH,1562
03464,STODDARD,NH,1109
03465,TROY,NH,2156
03466,WEST CHESTERFIELD,NH,1332
03467,WESTMORELAND,NH,1842
03470,WINCHESTER,NH,5033
03561,LITTLETON,NH,5939
03570,BERLIN,NH,10051
03574,BETHLEHEM,NH,2526
03575,BRETTON WOODS,NH,124
03576,COLEBROOK,NH,3238
03579,ERROL,NH,103
03579,ERROL,NH,358
03580,FRANCONIA,NH,1369
03581,GORHAM,NH,3230
03582,GROVETON,NH,2577
03583,JEFFERSON,NH,1107
03584,LANCASTER,NH,3774
03585,LISBON,NH,2519
03586,SUGAR HILL,NH,547
03588,MILAN,NH,1641
03590,NORTH STRATFORD,NH,1052
03592,PITTSBURG,NH,1145
03593,RANDOLPH,NH,313
03595,TWIN MOUNTAIN,NH,639
03597,WEST STEWARTSTOWN,NH,521
03598,WHITEFIELD,NH,3285
03601,ACWORTH,NH,477
03602,ALSTEAD,NH,2654
03603,CHARLESTOWN,NH,5412
03604,DREWSVILLE,NH,69
03605,LEMPSTER,NH,1160
03607,SOUTH ACWORTH,NH,322
03608,WALPOLE,NH,2811
03609,NORTH WALPOLE,NH,854
03740,BATH,NH,911
03741,CANAAN,NH,4208
03743,CLAREMONT,NH,14103
03745,CORNISH,NH,1424
03746,CORNISH FLAT,NH,216
03748,ENFIELD,NH,4762
03750,ETNA,NH,870
03751,GEORGES MILLS,NH,583
03752,GOSHEN,NH,810
03753,GRANTHAM,NH,2971
03754,GUILD,NH,86
03755,HANOVER,NH,10538
03765,HAVERHILL,NH,503
03766,LEBANON,NH,8958
03768,LYME,NH,1716
03770,MERIDEN,NH,524
03771,MONROE,NH,754
03773,NEWPORT,NH,7841
03774,NORTH HAVERHILL,NH,1966
03777,ORFORD,NH,1237
03779,PIERMONT,NH,790
03780,PIKE,NH,410
03781,PLAINFIELD,NH,1840
03782,SUNAPEE,NH,2945
03784,WEST LEBANON,NH,4086
03785,WOODSVILLE,NH,2400
03801,PORTSMOUTH,NH,21532
03809,ALTON,NH,3716
03810,ALTON BAY,NH,1538
03811,ATKINSON,NH,6753
03812,BARTLETT,NH,824
03813,CENTER CONWAY,NH,3250
03814,CENTER OSSIPEE,NH,2329
03816,CENTER TUFTONBORO,NH,1368
03817,CHOCORUA,NH,574
03818,CONWAY,NH,3807
03819,DANVILLE,NH,4377
03820,DOVER,NH,30039
03823,MADBURY,NH,1719
03824,DURHAM,NH,14638
03825,BARRINGTON,NH,8512
03826,EAST HAMPSTEAD,NH,2470
03827,EAST KINGSTON,NH,3150
03830,EAST WAKEFIELD,NH,1610
03832,EATON CENTER,NH,395
03833,EXETER,NH,20955
03835,FARMINGTON,NH,6786
03836,FREEDOM,NH,1489
03837,GILMANTON IRON WORKS,NH,1519
03838,GLEN,NH,1031
